shipment_id,warehouse_id,region_id,carrier_id,shipment_cost,delivery_status,is_fragile,shipment_date,delivery_date,package_weight_kg,declared_value_inr,payment_type,priority_level,created_ts,delivery_days
L8049,W30,R04,,1337.47,Delivered,N,2025-12-01,2025-12-01,6.4,24867,Prepaid,Standard,2025-12-01 10:15:00,
L9906,W08,R05,C14,621.15,Delivered,N,2025-12-01,2025-12-01,8.98,17514,Prepaid,Standard,2025-12-01 10:21:00,
L8683,W02,R04,C06,-1.0,Delivered,N,2025-12-01,2025-12-02,6.5,15925,COD,Express,2025-12-01 10:29:00,
L9099,W08,R05,C13,-1.0,Delivered,N,2025-12-01,2025-12-06,14.8,4630,Prepaid,Express,2025-12-01 10:36:00,
L7945,W17,R08,C10,843.91,Delayed,N,2025-12-01,2025-12-08,15.51,33805,Credit,Standard,2025-12-01 11:05:00,
L7003,W28,R05,C08,656.34,Delivered,Y,2025-12-01,2025-12-04,17.55,7870,Prepaid,Express,2025-12-01 11:19:00,
L7615,W37,R08,C10,490.49,Delivered,N,2025-12-01,2025-12-04,11.72,26538,Prepaid,Standard,2025-12-01 11:42:00,
L8364,W30,R04,C10,449.87,Delayed,N,2025-12-01,2025-12-06,15.07,705,Prepaid,Standard,2025-12-01 12:01:00,
L7840,W05,R05,C01,1148.59,Delivered,N,2025-12-01,2025-12-03,17.89,16435,COD,Standard,2025-12-01 12:43:00,
L9031,W40,R03,C11,1163.05,Delivered,N,2025-12-01,2025-12-08,19.47,8170,Credit,Express,2025-12-01 12:50:00,
L7937,W19,R04,C08,641.47,Delivered,Y,2025-12-01,,14.12,26854,Credit,Standard,2025-12-01 13:04:00,
L9961,W37,R08,C07,399.15,Delivered,Y,2025-12-01,2025-12-04,18.97,27038,COD,Standard,2025-12-01 13:05:00,
L8941,W25,R04,C03,451.73,Delivered,N,2025-12-01,2025-12-05,16.11,7968,Prepaid,Standard,2025-12-01 13:12:00,
L7477,W07,R04,C04,716.99,Delayed,N,2025-12-01,2025-12-10,4.57,23792,Prepaid,Express,2025-12-01 14:00:00,
L7543,W22,R01,C05,815.78,Delivered,N,2025-12-01,2025-12-02,18.39,12835,Prepaid,Standard,2025-12-01 14:01:00,
L8252,W12,R04,C06,1843.02,Failed,Y,2025-12-01,,0.2,29289,COD,Standard,2025-12-01 14:10:00,
L7600,W07,R04,C11,870.36,Delivered,N,2025-12-01,2025-12-08,16.18,33285,Credit,Standard,2025-12-01 14:14:00,
L9745,W39,R06,C03,1254.02,Failed,Y,2025-12-01,,11.02,21137,COD,Standard,2025-12-01 14:17:00,
L7345,W39,R06,C10,811.67,Delayed,N,2025-12-01,2025-12-05,10.94,14853,Prepaid,Standard,2025-12-01 14:23:00,
L8070,W04,R07,C13,808.1,Delivered,Y,2025-12-01,2025-12-07,4.49,15674,Prepaid,Standard,2025-12-01 14:40:00,
L8714,W35,R01,C10,246.61,Delayed,N,2025-12-01,2025-12-08,14.84,21931,Prepaid,Standard,2025-12-01 14:41:00,
L7310,W34,R04,C02,674.47,Delivered,Y,2025-12-01,2025-12-05,21.21,23966,Prepaid,Standard,2025-12-01 14:53:00,
L8993,W37,R08,C03,571.31,Delivered,N,2025-12-01,2025-12-07,12.1,7621,COD,Standard,2025-12-01 15:27:00,
L9180,W29,R08,C10,488.05,Failed,N,2025-12-01,,0.8,16437,COD,Standard,2025-12-01 15:34:00,
L7199,W32,R03,C08,943.53,Delivered,Y,2025-12-01,2025-12-04,14.98,7246,COD,Standard,2025-12-01 15:43:00,
L8179,W11,R07,C07,568.1,Delivered,Y,2025-12-01,2025-12-09,15.78,13815,COD,Standard,2025-12-01 16:00:00,
L8533,W04,R07,C03,590.31,Delivered,N,2025-12-01,2025-12-05,16.4,24674,Prepaid,Standard,2025-12-01 16:02:00,
L8302,W06,R08,C07,704.57,Delivered,Y,2025-12-01,2025-12-07,5.2,8596,COD,Standard,2025-12-01 16:52:00,
L9987,W18,R07,C02,532.05,Delivered,N,2025-12-01,2025-12-01,14.05,8738,Prepaid,Standard,2025-12-01 16:53:00,
L8136,W34,R04,C04,761.12,Delivered,N,2025-12-01,2025-11-28,9.6,7047,Prepaid,Express,2025-12-01 17:01:00,
L8306,W21,R07,C04,901.36,Delayed,Y,2025-12-01,2025-12-08,10.99,29145,Prepaid,Express,2025-12-01 17:29:00,
L9213,W37,R08,C13,535.78,Delivered,N,2025-12-01,2025-12-04,22.57,25876,Prepaid,Standard,2025-12-01 17:43:00,
L8639,W37,R08,C06,1512.78,Failed,N,2025-12-01,,8.15,9106,Prepaid,Standard,2025-12-01 18:08:00,
L9329,W22,R01,C09,645.02,Delivered,N,2025-12-01,2025-12-04,17.37,14549,COD,Standard,2025-12-01 18:33:00,
L8064,W04,R07,C08,478.45,Delivered,N,2025-12-01,2025-12-05,17.25,8696,COD,Standard,2025-12-01 18:38:00,
L7571,W37,R08,C02,6439.2,Delayed,N,2025-12-01,2025-12-07,12.07,3143,COD,Standard,2025-12-01 18:42:00,
L7235,W15,R07,C05,1257.47,Delivered,N,2025-12-01,2025-12-03,3.15,19516,Prepaid,Standard,2025-12-01 18:53:00,
L9269,W40,R03,C02,451.08,Delivered,N,2025-12-01,2025-12-06,4.4,16126,COD,Express,2025-12-01 18:54:00,
L9889,W21,R07,C02,-50.0,Delivered,Y,2025-12-01,2025-12-06,13.65,18190,Credit,Standard,2025-12-01 18:59:00,
L9482,W38,R06,C13,887.58,Delivered,N,2025-12-01,2025-12-08,10.28,15245,Credit,Standard,2025-12-01 19:12:00,
L8452,W07,R04,C10,955.58,Delivered,Y,2025-12-01,2025-12-03,13.82,14262,COD,Express,2025-12-01 19:18:00,
L7671,W21,R07,C13,626.6,Delivered,N,2025-12-01,2025-12-04,7.67,15975,Prepaid,Express,2025-12-01 19:23:00,
L7891,W30,R04,C02,529.69,Delivered,N,2025-12-01,2025-12-06,11.66,9790,COD,Standard,2025-12-01 20:07:00,
L8007,W38,R06,C10,1282.49,Delivered,Y,2025-12-01,2025-12-03,18.52,19859,Prepaid,Standard,2025-12-01 20:42:00,
L8258,W11,R07,C07,401.59,Delivered,N,2025-12-01,2025-12-07,19.65,18048,COD,Standard,2025-12-01 21:00:00,
L8263,W28,R05,C02,627.41,Delivered,N,2025-12-01,2025-12-05,11.72,8583,Prepaid,Standard,2025-12-01 21:23:00,
L7139,W17,R08,C06,1652.45,Delivered,N,2025-12-01,2025-12-02,13.39,16259,Prepaid,Standard,2025-12-01 21:31:00,
L7808,W25,R04,C04,627.9,Delivered,N,2025-12-01,2025-12-07,11.15,15756,COD,Standard,2025-12-01 21:35:00,
L9086,W23,R03,C03,606.72,Delivered,Y,2025-12-01,2025-12-04,15.06,13566,Prepaid,Standard,2025-12-01 21:50:00,
L7560,W13,R08,C10,792.07,Delivered,N,2025-12-01,2025-12-02,13.22,15553,Prepaid,Standard,2025-12-01 21:52:00,
L9029,W27,R05,C13,411.49,Delivered,N,2025-12-01,2025-12-07,9.63,13366,Prepaid,Standard,2025-12-01 22:11:00,
L8577,W19,R04,C03,523.03,Delivered,N,2025-12-01,2025-12-03,8.81,11668,COD,Express,2025-12-01 22:26:00,
L8719,W11,R07,C09,736.05,Delivered,N,2025-12-01,2025-12-06,20.6,11160,Prepaid,Standard,2025-12-01 22:45:00,
L7960,W37,R08,C01,930.0,Delivered,N,2025-12-01,2025-12-04,10.09,35172,COD,Express,2025-12-01 22:47:00,
L7073,W25,R04,C12,1822.97,Delivered,Y,2025-12-01,2025-12-01,15.26,28077,Prepaid,Standard,2025-12-01 23:16:00,
L7042,W17,R08,C01,1003.43,Delayed,N,2025-12-01,2025-12-05,9.44,13259,Prepaid,Standard,2025-12-01 23:45:00,
L8509,W14,R08,C12,1568.24,Delivered,Y,2025-12-01,2025-12-01,9.56,20674,Prepaid,Standard,2025-12-01 23:53:00,
L7354,W13,R08,C04,822.41,Delivered,N,2025-12-02,2025-12-05,14.68,8903,Prepaid,Standard,2025-12-02 00:51:00,
L7312,W24,R04,C02,956.82,Delivered,Y,2025-12-02,2025-12-07,22.74,20108,Prepaid,Standard,2025-12-02 00:55:00,
L7469,W12,R04,C09,856.95,Delayed,Y,2025-12-02,2025-12-11,11.96,10160,Prepaid,Standard,2025-12-02 00:57:00,
L8753,W08,R05,C03,770.18,Delivered,Y,2025-12-02,2025-12-08,0.2,14724,Prepaid,Standard,2025-12-02 01:09:00,
L8010,W10,R03,C15,967.76,Delayed,N,2025-12-02,2025-12-05,18.55,11479,Prepaid,Standard,2025-12-02 01:16:00,
L9481,W11,R07,C08,824.52,Delivered,N,2025-12-02,2025-12-06,8.88,20014,Prepaid,Express,2025-12-02 01:52:00,
L7740,W25,R04,C08,907.56,Delivered,Y,2025-12-02,2025-12-06,16.11,19809,Prepaid,Standard,2025-12-02 02:07:00,
L8223,W20,R04,C01,1721.28,Delivered,N,2025-12-02,2025-12-02,15.16,6057,Prepaid,Standard,2025-12-02 02:19:00,
L8973,W34,R04,C05,17691.96,Delivered,Y,2025-12-02,2025-12-02,19.58,36891,Prepaid,Express,2025-12-02 02:32:00,
L9292,W27,R05,C04,901.08,Delayed,Y,2025-12-02,2025-12-10,5.18,25863,COD,Standard,2025-12-02 02:35:00,
L9084,W16,R02,,612.38,Delivered,N,2025-12-02,2025-12-02,7.49,15810,COD,Standard,2025-12-02 03:01:00,
L9275,W22,R01,C13,480.99,Delivered,N,2025-12-02,2025-12-08,19.26,15873,Prepaid,Express,2025-12-02 03:11:00,
L9658,W07,R04,C03,549.06,Delivered,N,2025-12-02,2025-12-04,17.59,26849,Prepaid,Standard,2025-12-02 03:25:00,
L9048,W33,R08,C02,871.06,Delivered,Y,2025-12-02,2025-12-04,17.14,13968,Prepaid,Standard,2025-12-02 04:52:00,
L9550,W06,R08,C03,725.96,Delivered,Y,2025-12-02,2025-12-05,15.59,9624,Prepaid,Standard,2025-12-02 04:59:00,
L8216,W17,R08,C02,920.88,Delayed,Y,2025-12-02,2025-12-08,2.22,12629,Prepaid,Standard,2025-12-02 05:18:00,
L9654,W09,R02,C04,781.93,Failed,N,2025-12-02,,23.24,13483,Prepaid,Express,2025-12-02 05:31:00,
L7122,W38,R06,C14,689.39,Delivered,N,2025-12-02,2025-12-06,15.52,8939,COD,Standard,2025-12-02 05:56:00,
L9427,W34,R04,C07,362.21,Delivered,Y,2025-12-02,2025-12-05,20.15,27724,COD,Express,2025-12-02 06:27:00,
L7049,W40,R03,C09,553.94,Delivered,N,2025-12-02,2025-12-07,25.24,15886,COD,Standard,2025-12-02 06:32:00,
L8749,W37,R08,C10,592.22,Delivered,N,2025-12-02,2025-12-03,9.83,6120,Credit,Standard,2025-12-02 06:34:00,
L8772,W02,R04,C02,691.2,Delivered,N,2025-12-02,2025-12-05,17.18,20186,Prepaid,Standard,2025-12-02 06:35:00,
L9388,W08,R05,C02,,Delivered,Y,2025-12-02,2025-12-05,11.93,5953,Credit,Express,2025-12-02 06:36:00,
L9498,W05,R05,C03,526.33,Delivered,N,2025-12-02,2025-12-06,16.28,7300,COD,Express,2025-12-02 06:53:00,
L8296,W19,R04,C04,,Delayed,N,2025-12-02,2025-12-12,19.34,8799,Prepaid,Express,2025-12-02 06:54:00,
L9092,W34,R04,C01,1535.63,Delayed,N,2025-12-02,2025-12-04,9.03,18224,COD,Standard,2025-12-02 06:54:00,
L7344,W14,R08,C01,1182.17,Delivered,N,2025-12-02,2025-12-05,9.97,23501,Prepaid,Express,2025-12-02 07:00:00,
L8679,W32,R03,C14,652.05,Delivered,N,2025-12-02,2025-12-04,15.04,27510,Credit,Standard,2025-12-02 07:26:00,
L9109,W16,R02,C02,880.6,Delivered,N,2025-12-02,2025-12-05,12.49,12314,Credit,Express,2025-12-02 07:34:00,
L8746,W33,R08,C06,1118.34,Delivered,N,2025-12-02,2025-12-02,27.29,18323,Prepaid,Standard,2025-12-02 07:35:00,
L8659,W14,R08,C05,751.46,Delivered,N,2025-12-02,2025-12-06,3.44,500,Prepaid,Express,2025-12-02 07:41:00,
L8412,W02,R04,C09,643.05,Failed,N,2025-12-02,,19.29,18938,Prepaid,Standard,2025-12-02 07:47:00,
L8181,W05,R05,C05,718.73,Delayed,N,2025-12-02,2025-12-07,15.24,4463,Credit,Standard,2025-12-02 07:56:00,
L9101,W23,R03,C05,876.18,Delivered,Y,2025-12-02,2025-12-04,7.13,29611,Prepaid,Standard,2025-12-02 08:07:00,
L8808,W22,R01,C03,716.21,Delayed,N,2025-12-02,2025-12-10,7.19,7938,Credit,Standard,2025-12-02 08:07:00,
L8551,W34,R04,C05,962.59,Delivered,N,2025-12-02,2025-12-04,22.28,19383,COD,Express,2025-12-02 08:26:00,
L9883,W19,R04,C10,679.6,Delivered,N,2025-12-02,2025-12-05,17.18,18234,Credit,Standard,2025-12-02 08:27:00,
L7906,W39,R06,C03,715.04,Delivered,N,2025-12-02,2025-12-02,5.09,500,COD,Express,2025-12-02 08:40:00,
L7618,W15,R07,C07,585.37,Delivered,N,2025-12-02,2025-12-10,23.01,16448,Credit,Standard,2025-12-02 08:46:00,
L8040,W21,R07,C07,508.66,Delivered,N,2025-12-02,2025-12-09,15.82,10881,COD,Standard,2025-12-02 09:16:00,
L9258,W31,R07,C01,1269.39,Delayed,Y,2025-12-02,2025-12-06,11.87,13042,COD,Standard,2025-12-02 09:25:00,
L9651,W07,R04,C05,1259.62,Delivered,N,2025-12-02,2025-12-04,5.23,17626,Prepaid,Standard,2025-12-02 09:28:00,
L8222,W11,R07,C01,802.52,Delivered,N,2025-12-02,2025-12-05,13.03,28530,Prepaid,Standard,2025-12-02 09:47:00,
L7791,W06,R08,C08,773.16,Delivered,N,2025-12-02,2025-12-06,1.9,500,Credit,Standard,2025-12-02 09:57:00,
L8288,W03,R05,C01,601.43,Delivered,N,2025-12-02,2025-12-03,22.29,2359,COD,Express,2025-12-02 10:17:00,
L8641,W08,R05,C07,566.53,Delivered,N,2025-12-02,2025-12-09,16.27,18279,COD,Standard,2025-12-02 10:18:00,
L7389,W18,R07,C08,1138.3,Delivered,N,2025-12-02,2025-12-06,8.3,18580,Prepaid,Standard,2025-12-02 10:36:00,
L9783,W27,R05,C11,1016.82,Delivered,N,2025-12-02,2025-12-12,9.0,18898,Prepaid,Express,2025-12-02 11:14:00,
L7796,W06,R08,C07,436.79,Delivered,N,2025-12-02,2025-12-10,13.54,13135,Credit,Standard,2025-12-02 11:35:00,
L9752,W32,R03,C10,881.75,Delivered,Y,2025-12-02,2025-12-02,23.45,14196,Prepaid,Standard,2025-12-02 11:43:00,
L7805,W18,R07,C05,1215.44,Delivered,N,2025-12-02,2025-12-03,6.37,22883,Prepaid,Standard,2025-12-02 12:49:00,
L8056,W31,R07,C14,777.55,Delivered,N,2025-12-02,2025-12-02,2.76,500,COD,Standard,2025-12-02 13:13:00,
L7433,W39,R06,C15,247.61,Delayed,N,2025-12-02,2025-12-02,3.95,20743,COD,Standard,2025-12-02 13:16:00,
L7869,W32,R03,C03,380.09,Delivered,N,2025-12-02,2025-12-05,7.69,18082,Prepaid,Express,2025-12-02 13:28:00,
L8121,W25,R04,C02,665.09,Delivered,N,2025-12-02,2025-12-04,5.76,9330,Prepaid,SameDay,2025-12-02 13:34:00,
L7657,W04,R07,C14,479.69,Delivered,N,2025-12-02,2025-12-02,10.58,13990,COD,Standard,2025-12-02 13:37:00,
L7288,W37,R08,C07,524.8,Delayed,Y,2025-12-02,2025-12-11,11.94,14266,Prepaid,Standard,2025-12-02 13:42:00,
L7640,W29,R08,C06,1182.11,Delivered,N,2025-12-02,2025-12-04,11.37,22307,Prepaid,Standard,2025-12-02 13:48:00,
L8453,W28,R05,C01,1055.54,Delayed,N,2025-12-02,2025-12-05,13.52,10158,Prepaid,Standard,2025-12-02 13:48:00,
L9400,W02,R04,C02,488.14,Delayed,N,2025-12-02,2025-12-09,8.62,23375,COD,Standard,2025-12-02 13:50:00,
L8385,W23,R03,C10,445.42,Delayed,Y,2025-12-02,2025-12-08,15.27,13675,Credit,Standard,2025-12-02 14:27:00,
L9742,W10,R03,C07,,Delivered,N,2025-12-02,2025-12-08,16.78,1008,Prepaid,Standard,2025-12-02 14:32:00,
L7020,W16,R02,C09,768.36,Delivered,N,2025-12-02,2025-12-08,12.18,14007,Prepaid,Express,2025-12-02 14:45:00,
L7098,W09,R02,C10,532.97,Delayed,N,2025-12-02,2025-12-07,11.36,9919,Prepaid,Standard,2025-12-02 14:55:00,
L7316,W26,R04,C07,307.23,Delivered,N,2025-12-02,2025-12-08,0.2,9138,Credit,Express,2025-12-02 15:16:00,
L7668,W01,R01,C13,342.51,Delivered,N,2025-12-02,2025-12-09,14.08,15976,Prepaid,Standard,2025-12-02 15:24:00,
L7614,W13,R08,C09,728.64,Delayed,N,2025-12-02,2025-12-12,10.1,500,Prepaid,Standard,2025-12-02 15:48:00,
L7672,W39,R06,C14,525.61,Delivered,N,2025-12-02,2025-12-05,1.37,16673,Credit,Express,2025-12-02 16:03:00,
L7587,W19,R04,C03,773.7,Delivered,N,2025-12-02,2025-12-07,20.55,21685,Prepaid,Express,2025-12-02 16:12:00,
L8576,W31,R07,C06,1472.27,Delivered,Y,2025-12-02,2025-12-05,7.79,16317,Prepaid,Express,2025-12-02 16:16:00,
L9182,W19,R04,C15,1417.3,Delivered,N,2025-12-02,2025-12-04,2.6,18046,Prepaid,Standard,2025-12-02 16:31:00,
L8233,W24,R04,C12,1155.17,Delivered,N,2025-12-02,2025-12-04,15.11,6072,Prepaid,Standard,2025-12-02 17:16:00,
L9558,W25,R04,C04,582.64,Delivered,N,2025-12-02,2025-12-06,25.48,27262,Prepaid,Standard,2025-12-02 17:24:00,
L7880,W13,R08,C03,578.75,Delivered,N,2025-12-02,2025-12-07,21.0,25474,COD,Standard,2025-12-02 17:36:00,
L9574,W38,R06,C10,375.98,Delayed,Y,2025-12-02,2025-12-06,10.05,27608,Prepaid,SameDay,2025-12-02 17:43:00,
L7581,W10,R03,C05,2064.01,Delivered,Y,2025-12-02,2025-12-02,22.28,24012,COD,Standard,2025-12-02 17:44:00,
L8036,W40,R03,C03,564.56,Delivered,N,2025-12-02,2025-12-08,18.21,9322,Credit,Standard,2025-12-02 18:01:00,
L8037,W15,R07,C07,577.45,Delivered,N,2025-12-02,2025-12-07,9.24,16435,Prepaid,Express,2025-12-02 18:42:00,
L9295,W25,R04,C10,320.54,Delivered,N,2025-12-02,2025-12-02,8.99,8983,Prepaid,Express,2025-12-02 19:10:00,
L9534,W04,R07,C05,1417.1,Delivered,N,2025-12-02,2025-12-06,17.88,14961,COD,Standard,2025-12-02 19:11:00,
L9542,W09,R02,C13,675.29,Delivered,Y,2025-12-02,2025-12-04,20.0,18925,COD,Standard,2025-12-02 19:37:00,
L9210,W23,R03,C02,,Delayed,N,2025-12-02,2025-12-09,12.9,10652,Prepaid,Standard,2025-12-02 19:40:00,
L8571,W25,R04,C04,752.81,Delayed,N,2025-12-02,2025-12-09,23.22,12040,Prepaid,Standard,2025-12-02 20:01:00,
L8899,W28,R05,C09,429.08,Failed,N,2025-12-02,,8.9,8439,COD,Standard,2025-12-02 20:17:00,
L9143,W15,R07,C05,1367.58,Delayed,Y,2025-12-02,2025-12-07,26.41,10327,COD,Standard,2025-12-02 20:22:00,
L9230,W36,R06,C03,939.38,Delivered,N,2025-12-02,2025-12-07,11.59,8491,Prepaid,Standard,2025-12-02 21:17:00,
L8234,W27,R05,C07,558.41,Delayed,Y,2025-12-02,2025-12-08,2.8,16304,Prepaid,Express,2025-12-02 21:28:00,
L7332,W07,R04,C08,540.74,Delivered,N,2025-12-02,2025-12-04,0.76,16075,Credit,Standard,2025-12-02 21:39:00,
L7167,W19,R04,C01,1652.65,Delivered,Y,2025-12-02,2025-12-05,13.63,38188,COD,Express,2025-12-02 21:55:00,
L8240,W30,R04,C12,1524.13,Delivered,N,2025-12-02,2025-12-03,5.58,11603,Prepaid,Standard,2025-12-02 21:57:00,
L9636,W23,R03,C01,1580.57,Delayed,N,2025-12-02,2025-12-07,26.92,23766,Prepaid,Standard,2025-12-02 22:05:00,
L8226,W03,R05,C02,705.32,Delivered,N,2025-12-02,2025-12-05,16.65,19683,COD,Standard,2025-12-02 22:10:00,
L9141,W32,R03,C12,1554.85,Delayed,Y,2025-12-02,2025-12-02,14.4,34292,Prepaid,Express,2025-12-02 22:11:00,
L9959,W06,R08,C02,248.5,Delivered,N,2025-12-02,2025-12-06,1.46,26037,Prepaid,Express,2025-12-02 23:18:00,
L7789,W08,R05,C07,536.37,Delivered,N,2025-12-02,2025-12-09,19.58,19454,Prepaid,Standard,2025-12-02 23:19:00,
L8423,W14,R08,C12,1089.89,Delivered,N,2025-12-02,2025-12-04,12.71,19842,COD,Express,2025-12-02 23:24:00,
L7628,W01,R01,C11,1675.23,Delivered,Y,2025-12-02,2025-12-13,12.06,10656,Prepaid,Express,2025-12-02 23:32:00,
L9954,W37,R08,C03,903.62,Delivered,N,2025-12-02,2025-12-04,10.97,23848,Credit,Standard,2025-12-02 23:46:00,
L8313,W38,R06,C02,664.35,Delivered,Y,2025-12-03,2025-12-06,11.79,500,Prepaid,Standard,2025-12-03 00:03:00,
L8358,W13,R08,C08,695.87,Delayed,N,2025-12-03,2025-12-12,12.75,4733,Prepaid,Standard,2025-12-03 00:08:00,
L8539,W05,R05,C02,,Delivered,Y,2025-12-03,2025-11-30,8.3,29318,Prepaid,Standard,2025-12-03 00:27:00,
L9110,W19,R04,C06,963.76,Delivered,Y,2025-12-03,2025-12-03,11.64,9044,COD,Standard,2025-12-03 00:36:00,
L8558,W01,R01,C01,,Delivered,N,2025-12-03,,3.63,23596,Prepaid,Express,2025-12-03 01:04:00,
L9626,W24,R04,C09,621.46,Delivered,Y,2025-12-03,2025-12-09,5.34,29652,Prepaid,Standard,2025-12-03 02:04:00,
L7448,W31,R07,C12,2131.19,Delivered,Y,2025-12-03,2025-12-03,14.92,10712,Prepaid,Standard,2025-12-03 02:05:00,
L7429,W14,R08,C03,,Delivered,N,2025-12-03,2025-12-09,14.71,3626,Credit,Express,2025-12-03 02:17:00,
L8604,W10,R03,C06,1240.12,Delivered,N,2025-12-03,2025-12-03,1.71,32749,Prepaid,Standard,2025-12-03 02:28:00,
L7680,W37,R08,C07,500.91,Delivered,N,2025-12-03,2025-12-09,7.15,11182,Prepaid,Express,2025-12-03 02:53:00,
L8621,W38,R06,C09,594.3,Failed,N,2025-12-03,,14.64,21652,Prepaid,Standard,2025-12-03 02:56:00,
L9565,W17,R08,C04,676.65,Delivered,N,2025-12-03,2025-12-09,13.9,19664,COD,Standard,2025-12-03 03:02:00,
L9682,W14,R08,C07,453.95,Delivered,N,2025-12-03,2025-12-10,6.54,8441,COD,Express,2025-12-03 03:10:00,
